,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Signal,MACD_Hist,RSI,WILLR,ADX,MOM
2001-08-13,80.15,82.59,79.95,82.2,2396800.0,-1.2013,-1.1378,-0.0636,44.2106,-59.2179,13.9025,-0.49
2001-08-10,79.81,80.8,78.55,80.8,2591000.0,-1.2372,-1.1219,-0.1153,39.3739,-74.8603,13.784,-4.02
2001-08-09,80.6,80.76,78.95,80.05,3954300.0,-1.1225,-1.0931,-0.0294,36.6415,-87.1345,12.637,-4.59
2001-08-08,82.9,83.95,81.8,81.8,1921200.0,-0.8833,-1.0857,0.2024,40.6068,-84.4444,11.5357,-1.4
2001-08-07,83.68,84.18,82.77,83.54,1744000.0,-0.7434,-1.1363,0.393,45.1144,-58.6667,11.4312,1.69
2001-08-06,84.85,85.05,83.7,83.95,1228500.0,-0.7311,-1.2346,0.5034,46.2374,-52.5926,11.7526,2.21
2001-08-03,86.1,86.5,84.85,85.5,1420400.0,-0.7466,-1.3604,0.6138,50.6648,-29.6296,12.5353,2.55
2001-08-02,85.95,87.5,85.94,86.3,2010800.0,-0.9133,-1.5139,0.6005,53.1016,-17.7778,13.0487,3.3
2001-08-01,83.5,85.9,83.4,85.35,2082200.0,-1.1943,-1.664,0.4697,50.475,-36.5517,13.0213,1.35
2001-07-31,82.45,84.9,82.07,83.16,2308100.0,-1.4388,-1.7814,0.3426,43.7288,-66.7586,13.7084,-2.69
2001-07-30,83.85,84.75,82.06,82.69,2174700.0,-1.507,-1.8671,0.3601,42.1586,-66.375,14.5862,-0.71
2001-07-27,84.52,86.08,83.6,84.82,1770100.0,-1.5243,-1.9571,0.4328,47.7677,-39.75,15.4578,-1.33
2001-07-26,82.8,85.0,81.8,84.64,2567400.0,-1.741,-2.0653,0.3243,47.2166,-42.0,16.168,-1.91
2001-07-25,81.95,83.2,81.15,83.2,1863500.0,-1.974,-2.1464,0.1724,42.7279,-60.0,17.3989,1.6
2001-07-24,81.3,82.56,80.75,81.85,2487700.0,-2.096,-2.1895,0.0935,38.1491,-76.875,17.8159,0.25
2001-07-23,83.75,84.97,81.59,81.74,3210700.0,-2.0838,-2.2129,0.1291,37.7727,-78.25,17.9159,-0.17
2001-07-20,82.85,83.8,82.05,82.95,2190000.0,-2.0267,-2.2451,0.2184,40.2763,-63.125,18.3572,-0.15
2001-07-19,85.0,85.5,81.65,83.0,2470600.0,-2.0476,-2.2997,0.2521,40.379,-62.5,18.211,-1.0
2001-07-18,83.85,85.1,82.3,84.0,2376100.0,-2.0495,-2.3628,0.3132,42.3862,-59.3909,18.0535,0.0
2001-07-17,82.9,86.47,81.65,85.85,2687400.0,-2.124,-2.4411,0.317,46.3434,-49.1304,18.1031,1.25
2001-07-16,85.9,87.14,82.0,83.4,2713000.0,-2.3766,-2.5203,0.1437,39.3841,-70.4348,18.1565,-2.4
2001-07-13,86.0,88.0,85.62,86.15,1880300.0,-2.4149,-2.5562,0.1413,45.5405,-52.1401,18.3212,-0.45
2001-07-12,83.5,86.85,83.08,86.55,3151600.0,-2.7087,-2.5916,-0.1171,46.5227,-49.0272,19.7136,-0.95
2001-07-11,81.25,81.95,80.0,81.6,2863700.0,-3.085,-2.5623,-0.5227,28.9016,-88.1569,20.7828,-8.7
2001-07-10,82.25,82.85,81.14,81.6,2444600.0,-3.0164,-2.4316,-0.5848,28.9016,-96.2813,19.374,-9.35
2001-07-09,82.6,82.9,81.25,81.91,2765400.0,-2.885,-2.2854,-0.5996,29.4251,-94.6166,18.1985,-10.19
2001-07-06,83.75,83.75,81.7,83.1,2206600.0,-2.7069,-2.1355,-0.5714,31.4564,-88.1456,16.9655,-9.9
2001-07-05,83.75,85.39,83.5,84.0,2055300.0,-2.5614,-1.9927,-0.5687,33.059,-95.005,15.7673,-4.4
