,index,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Hist,MACD_Signal,RSI,WILLR,ADX,MOM
133,668.0,120.96,121.81,120.05,120.57,33871405.0,2.3584,0.414,1.9443,60.0719,-32.1146,25.1844,5.29
134,875.0,109.04,110.49,108.5,109.8,48956588.0,-0.5868,-0.0401,-0.5467,47.3922,-49.0138,21.2758,-2.72
135,2551.0,187.9,188.69,181.3,183.6,33779300.0,8.6434,-0.8118,9.4552,60.8202,-44.7205,46.1898,-1.13
136,35.0,186.07,188.46,186.0,188.18,19183064.0,4.7681,1.3784,3.3897,66.5678,-7.3638,25.3004,11.61
137,3922.0,15.03,15.08,14.53,14.63,4346400.0,-0.1129,-0.1615,0.0486,40.1181,-93.29899999999999,16.8068,-0.9
138,733.0,114.58,116.25,114.5,115.52,38670405.0,-2.9235,-1.0379,-1.8855,30.2462,-83.5735,32.6714,-8.98
139,1023.0,92.2,92.44,90.88,91.28,54525000.0,-119.6982,-65.5674,-54.1308,8.2478,-99.9286,58.8284,-541.72
140,1425.0,590.23,590.74,580.09,582.8495,13389900.0,-19.3571,-3.6628,-15.6943,33.2522,-89.6213,38.934,-26.9905
141,4475.0,59.41,61.44,58.56,61.05,4060500.0,1.3808,0.0108,1.37,58.1568,-31.1044,17.718,2.61
142,3948.0,15.57,15.88,14.96,15.44,4628200.0,0.1881,0.1487,0.0394,59.8868,-21.519000000000002,16.9068,0.28
143,4016.0,14.33,15.22,14.25,15.2,7260600.0,-1.2733,-0.11,-1.1633,36.223,-79.0749,42.47,-2.12
144,14.0,190.03,190.16,188.26,188.84,61719160.0,2.4424,-0.7021,3.1445,52.8142,-66.5012,24.5576,-1.4
145,2309.0,131.75,132.86,131.12,132.71,14223400.0,5.8254,0.21,5.6154,75.7639,-1.0519,45.6168,10.95
146,4097.0,23.7,23.88,23.46,23.67,1936700.0,0.02,-0.1605,0.1805,47.4984,-70.8696,12.2712,-0.76
147,4207.0,17.29,18.23,17.29,18.0,10938800.0,0.13,0.3153,-0.1853,57.8882,-11.4525,21.9938,2.12
148,4305.0,23.29,23.3,22.62,23.2,4852800.0,0.0206,-0.21600000000000003,0.2367,47.3659,-81.5287,15.3116,0.2
149,1003.0,95.86,96.89,95.65,96.45,42810000.0,-66.5425,18.5283,-85.0708,12.2358,-6.0773,74.7563,4.47
150,1506.0,606.12,607.66,597.22,604.43,16761500.0,9.2763,2.8239,6.4525,60.2377,-28.4556,19.3666,32.405
151,2474.0,164.57,164.89,151.4585,157.92,37356400.0,-1.9421,-1.9268,-0.0153,34.7325,-75.1877,20.9176,-18.87
152,3067.0,70.78,71.54,69.16,69.6,26799300.0,0.9635,0.4227,0.5408,58.36600000000001,-26.9819,24.2016,4.789
153,4242.0,18.2,18.34,17.58,17.81,3876400.0,-0.7473,0.0073,-0.7546,35.9464,-89.1509,28.0656,-1.24
154,3677.0,21.23,21.25,20.614,20.68,4797400.0,-0.5866,-0.1564,-0.4302,39.654,-75.5162,18.9604,-0.86
155,3501.0,30.39,31.54,30.35,31.52,6268500.0,-0.0193,-0.1598,0.1405,51.4191,-44.8485,17.2162,-0.91
156,1682.0,407.56,409.0,401.89,404.69,17666600.0,3.5493,-0.4106,3.9599,54.1732,-45.3908,11.4996,-3.74
157,2653.0,185.43,187.83,183.33,187.21,27644900.0,3.2807,-0.6502,3.9309,55.8156,-55.5845,18.4791,-2.7428
158,692.0,110.63,111.74,109.765,111.31,48856977.0,-0.9197,-0.1999,-0.7199,46.4356,-57.3561,32.3426,-2.09
159,90.0,179.1,180.48,178.16,178.39,38685165.0,1.7659,1.8851,-0.1193,63.3739,-6.9114,21.7335,15.68
160,3875.0,14.41,14.64,14.24,14.54,3723100.0,-0.0398,0.0305,-0.0704,52.0956,-37.3239,9.9939,0.22
161,2370.0,92.77,97.25,92.62,96.46,26758800.0,1.1261,1.0664,0.0597,60.5969,-4.147,15.1853,8.1
162,1499.0,613.03,614.44,603.7,604.3,14195400.0,8.2865,0.1237,8.1628,56.1925,-42.928000000000004,23.3602,-1.58
163,1283.0,450.73,452.36,442.48,450.72,13298300.0,3.4234,0.4254,2.998,56.9258,-16.7016,15.009,17.46
164,3529.0,32.509,32.97,31.89,32.54,6661500.0,1.2717,-0.0515,1.3232,61.8709,-35.1812,37.7289,-0.2
165,2473.0,156.86,159.96,149.79,151.68,44465200.0,-2.9869,-2.3772,-0.6096,29.467,-93.1794,23.1917,-20.87
166,4041.0,20.42,20.59,19.98,20.15,6310000.0,-1.092,-0.2493,-0.8427,33.7646,-67.4641,27.6497,-2.63
167,640.0,108.91,109.52,105.81,106.03,96453327.0,-2.0156,-1.1489,-0.8667,29.1438,-98.4342,22.9658,-13.0
168,1004.0,95.36,95.89,94.8625,95.22,34018000.0,-71.2275,18.4755,-89.7029,11.2568,-22.0979,74.7283,4.32
169,3531.0,33.9,34.19,32.21,32.49,9305300.0,1.4393,0.1073,1.3321,61.6032,-36.2473,40.7939,2.37
170,1492.0,603.23,611.7,602.72,610.76,16511700.0,2.2689,-1.5664,3.8352,58.7016,-10.1213,18.8171,3.82
171,3032.0,57.61,58.35,57.29,57.47,24034800.0,-2.1326,-0.059000000000000004,-2.0736,38.3692,-87.8315,34.4835,-2.253
172,464.0,105.66,106.5699,105.64,106.1,29662406.0,1.0979999999999999,-0.703,1.801,50.3622,-87.315,26.559,-3.12
173,1232.0,497.88,504.25,493.4,498.5,27013300.0,14.1446,3.6796,10.465,76.7698,-8.2249,32.0063,45.97
174,3887.0,14.24,14.69,14.16,14.58,5111700.0,-0.1783,0.0057,-0.184,51.6125,-25.0,12.7436,-0.05
175,4481.0,57.34,60.06,57.0,57.75,3357100.0,1.7898,0.2284,1.5614,52.5687,-48.7749,24.1827,-0.31
176,3860.0,14.47,14.71,14.31,14.53,3589000.0,0.0225,-0.0336,0.0561,47.8922,-51.3333,14.0309,-0.47
177,777.0,129.5,129.69,128.36,128.65,35626800.0,0.588,-0.2457,0.8337,48.0406,-93.7093,10.8676,-2.74
178,288.0,156.01,156.65,155.05,155.7,25700983.0,3.5271,0.8996,2.6275,78.5895,-7.1001,34.0238,9.12
179,3519.0,32.65,33.63,32.11,32.93,31566500.0,0.0948,-0.2472,0.3419,62.6153,-23.1193,31.1023,0.39
