,1. open,2. high,3. low,4. close,5. adjusted close,8. split coefficient,MACD_Hist,MACD,MACD_Signal,RSI,WILLR,ADX,MOM,Labels,Price Diffs,Price Diff Labels
549,92.72,92.78,89.47,90.34,87.2802,1.0,-0.7188,-3.8861,-3.1673,22.5411,-94.62299999999999,43.1946,-4.49,1,5.88,7
550,93.48,93.57,92.46,92.51,89.3767,1.0,-0.7527,-3.7403,-2.9876,25.8961,-95.4887,41.888999999999996,-5.31,1,2.62,6
551,93.33,93.57,92.11,93.42,90.2559,1.0,-0.9213,-3.7207,-2.7994,27.4892,-89.5889,41.1804,-10.93,1,0.75,5
552,93.0,93.77,92.59,92.79,89.6472,1.0,-1.1652,-3.7343,-2.5691,24.5033,-94.2118,40.4173,-12.29,1,1.71,6
553,93.37,93.45,91.85,92.72,89.5796,1.0,-1.3553,-3.6331,-2.2778,24.1812,-94.6429,39.7178,-12.96,1,0.74,5
554,94.0,94.07,92.68,93.24,90.08200000000001,1.0,-1.5051,-3.4441,-1.939,24.9145,-94.9245,38.7281,-12.73,1,0.62,5
555,95.2,95.9,93.82,94.19,90.4469,1.0,-1.6429,-3.2056,-1.5627,26.2657,-91.005,37.8523,-12.94,0,-2.99,3
556,94.2,95.74,93.68,95.18,91.3976,1.0,-1.7993,-2.9513,-1.1520000000000001,27.7204,-86.09299999999999,37.181999999999995,-11.73,0,-4.12,3
557,93.965,94.08,92.4,93.64,89.9188,1.0,-1.9824,-2.6846,-0.7022,21.4351,-93.7969,36.3548,-13.84,0,-0.54,4
558,93.99,94.72,92.51,93.74,90.0148,1.0,-1.9418,-2.1484,-0.2066,21.5481,-93.8129,34.3362,-16.11,1,0.24,5
559,97.61,97.88,94.25,94.83,91.0615,1.0,-1.7218,-1.4429,0.2789,22.7624,-96.8026,32.1801,-17.27,0,-1.41,3
560,96.0,98.71,95.68,97.82,93.9326,1.0,-1.3418,-0.6325,0.7093,26.5777,-87.1933,30.1448,-14.22,0,-4.35,3
561,103.91,105.3,103.91,104.35,100.2031,1.0,-0.9381,0.1067,1.0448,40.2635,-94.8113,28.213,-6.09,0,-10.12,1
562,105.0,105.65,104.51,105.08,100.9041,1.0,-0.8955,0.3838,1.2793,42.5372,-92.7665,28.8028,-3.94,0,-10.46,1
563,105.01,106.48,104.62,105.68,101.4803,1.0,-0.8457,0.6575,1.5032,44.4532,-86.3578,29.7766,-2.98,0,-10.08,1
564,106.93,106.93,105.52,105.97,101.7588,1.0,-0.7784,0.9362,1.7146,45.3704,-93.4498,30.8869,-2.57,0,-11.84,1
565,106.64,108.09,106.06,107.13,102.8727,1.0,-0.6605,1.2488,1.9092,49.1358,-83.0964,32.5906,-3.83,0,-12.86,1
566,107.88,108.0,106.23,106.91,102.6614,1.0,-0.5629,1.5115,2.0743,48.3814,-88.961,34.7445,-2.9,0,-11.6,1
567,108.89,108.95,106.94,107.48,103.2088,1.0,-0.3679,1.8472,2.2151,50.1718,-90.0917,37.1628,-3.64,0,-9.28,2
568,112.11,112.3,109.73,109.85,105.4846,1.0,-0.1162,2.1908,2.307,58.535,-33.8216,39.866,-0.14,0,-5.28,2
569,111.62,112.39,111.33,112.1,107.6452,1.0,0.0201,2.3562,2.3361,68.6184,-3.8615,40.8027,3.11,0,-6.74,2
570,110.8,112.34,110.8,112.04,107.5875,1.0,-0.0271,2.3039,2.331,68.4839,-4.0214,40.2919,2.48,0,-6.11,2
571,109.34,110.5,108.66,110.44,106.0511,1.0,-0.1281,2.2098,2.3378,64.7442,-23.9398,39.76,2.76,0,-4.29,3
572,108.97,110.61,108.83,109.02,104.6876,1.0,-0.1494,2.2204,2.3698,60.9228,-43.3653,39.927,3.83,0,-1.81,3
573,108.91,109.77,108.17,108.66,104.3419,1.0,-0.0609,2.3463,2.4072,59.8996,-48.29,39.9388,2.99,0,-1.68,3
574,109.95,110.42,108.12100000000001,108.54,104.2266,1.0,0.087,2.5094,2.4224,59.5719,-49.9316,40.3155,2.41,0,-1.02,3
575,110.23,110.98,109.2,110.96,106.5505,1.0,0.2927,2.6934,2.4007,70.3337,-16.8263,40.7212,4.24,0,-1.07,3
576,109.51,110.73,109.42,109.81,105.4462,1.0,0.3151,2.6426,2.3275,67.764,-31.3158,40.1679,3.9,1,2.2,6
577,110.42,112.19,110.27,111.12,106.7041,1.0,0.4077,2.6565,2.2488,74.5991,-12.8297,39.656,5.2,1,0.88,5
578,108.78,110.0,108.2,109.99,105.619,1.0,0.3553,2.5021,2.1468,72.3665,-4.9769,38.3054,4.19,1,0.43,5
579,109.72,109.9,108.88,108.99,104.6587,1.0,0.3258,2.3838,2.0580000000000003,70.2153,-16.0314,37.5217,3.02,1,0.03,5
580,108.65,110.42,108.6,109.56,105.2061,1.0,0.3234,2.2999,1.9765,73.2328,-8.3739,35.9646,4.98,0,-0.86,4
581,104.89,107.79,104.88,107.68,103.4008,1.0,0.2057,2.1014,1.8957,69.1758,-1.4398,34.2876,5.16,1,0.83,5
582,106.0,106.19,105.06,105.19,101.0098,1.0,0.1646,2.0088,1.8442,62.1137,-32.8,33.3361,2.93,1,5.54,7
583,105.47,106.25,104.89,105.67,101.4707,1.0,0.3118,2.1149,1.8031,64.77,-26.4,33.0275,4.5,1,3.98,6
584,106.48,107.07,105.9,106.13,101.9124,1.0,0.4456,2.1708,1.7251,67.3324,-20.2667,32.6951,5.01,1,4.79,6
585,105.25,107.29,105.21,106.72,102.479,1.0,0.5499,2.1637,1.6137,70.6618,-12.4,31.2283,5.69,1,3.14,6
586,105.93,107.65,105.1401,105.91,101.7011,1.0,0.5868,2.063,1.4763,68.688,-21.7228,29.6487,4.04,1,2.96,6
587,106.34,106.5,105.19,105.92,101.7107,1.0,0.6574,1.9869999999999999,1.3296,68.741,-6.3877,27.9476,2.91,1,3.5,6
588,105.52,106.47,104.96,105.8,101.5955,1.0,0.6949,1.8601,1.1652,68.4698,-6.8228,26.5082,4.3,1,1.81,6
589,104.61,106.31,104.59,105.97,101.7588,1.0,0.6918,1.6832,0.9915,69.2602,-3.4943,24.9687,5.22,0,-0.75,4
590,103.96,105.18,103.85,104.58,100.42399999999999,1.0,0.5972,1.4157,0.8185,66.3072,-6.0423,23.3637,4.05,1,1.05,6
591,101.91,102.91,101.78,102.52,98.4459,1.0,0.526,1.1952,0.6692,61.1745,-11.7929,22.02,5.83,1,3.47,6
592,102.24,102.28,101.5,102.26,98.1962,1.0,0.5684,1.1062,0.5377,60.4688,-14.2857,21.5199,5.35,1,4.28,6
593,101.41,102.24,100.15,101.17,97.1495,1.0,0.6072,1.0029,0.3956,57.4583,-24.7363,21.2928,4.41,1,4.55,6
594,101.31,101.58,100.27,101.12,97.1015,1.0,0.7236,0.9674,0.2438,57.3198,-25.2157,21.0678,5.02,1,4.61,6
595,100.78,101.76,100.4,101.03,97.0151,1.0,0.8502,0.9132,0.0629,57.0864,-26.0786,21.141,6.34,1,4.58,6
596,102.39,102.83,100.96,101.87,97.8217,1.0,0.9895,0.8398,-0.1496,59.9269,-18.0249,21.1274,4.99,1,3.94,6
597,102.37,103.75,101.37,103.01,98.9164,1.0,1.0454,0.6484,-0.397,63.9361,-7.0949,20.724,6.97,1,1.51,6
598,100.58,101.7099,100.45,101.5,97.4664,1.0,0.937,0.2787,-0.6584,60.7025,-2.4127,20.0062,5.24,1,0.98,5
599,100.51,100.89,99.64,100.75,96.7462,1.0,0.8490000000000001,-0.0436,-0.8926,59.0073,-1.6867,20.0706,2.63,1,1.45,6
600,97.65,100.77,97.42,100.53,96.5349,1.0,0.727,-0.3779,-1.1049,58.5199,-2.9339999999999997,20.5234,3.89,1,0.61,5
601,96.86,98.23,96.65,96.69,92.8475,1.0,0.5099,-0.7767,-1.2866,48.6187,-34.9206,21.0669,2.7,1,4.25,6
602,97.2,98.0237,96.58,96.91,93.0588,1.0,0.5306,-0.8835,-1.4141,49.244,-31.4286,22.3964,3.21,1,3.96,6
603,96.05,96.76,95.25,96.76,92.9148,1.0,0.5175,-1.0293,-1.5468,48.8273,-33.8095,23.7065,2.49,1,4.91,6
604,93.98,96.38,93.32,96.1,92.281,1.0,0.491,-1.1851,-1.6762,47.0512,-44.2857,24.3472,1.11,1,6.64,7
605,96.4,96.5,94.55,94.69,90.927,1.0,0.4993,-1.2996,-1.7989,43.136,-66.6667,24.7953,-0.32,1,6.54,7
606,96.31,96.9,95.92,96.88,93.03,1.0,0.6404,-1.2833,-1.9237,48.2854,-31.9048,25.8371,2.86,1,3.72,6
607,96.0,96.7599,95.8,96.04,92.2234,1.0,0.617,-1.4668,-2.0838,45.989,-45.2381,27.653000000000002,-0.56,1,4.31,6
608,98.84,98.89,96.09100000000001,96.26,92.4346,1.0,0.644,-1.5941,-2.2381,46.4911,-41.746,29.531999999999996,-0.09,1,0.41,5
609,96.67,98.21,96.15,98.12,94.2207,1.0,0.6432,-1.7558,-2.3991,50.8492,-1.5464,31.6981,3.64,0,-1.16,3
610,95.02,96.85,94.61,96.64,92.7995,1.0,0.4338,-2.1261,-2.5599,47.1916,-14.1414,33.6926,0.21,1,0.12,5
611,94.19,94.5,93.01,93.99,90.2548,1.0,0.2513,-2.417,-2.6683,39.7352,-81.1543,35.1277,-3.35,1,2.03,6
