Date,Date Value,Open,High,Low,Close,Adj Close,Volume
11/7/17,43046,173.910004,175.25,173.600006,174.809998,172.810165,24361500
11/8/17,43047,174.660004,176.240005,174.330002,176.240005,174.223831,24409500
11/9/17,43048,175.110001,176.100006,173.139999,175.880005,173.86795,29482600
11/10/17,43049,175.110001,175.380005,174.270004,174.669998,173.292511,25145500
11/13/17,43052,173.5,174.5,173.399994,173.970001,172.598022,16982100
11/14/17,43053,173.039993,173.479996,171.179993,171.339996,169.988754,24782500
11/15/17,43054,169.970001,170.320007,168.380005,169.080002,167.746582,29158100
11/16/17,43055,171.179993,171.869995,170.300003,171.100006,169.750671,23637500
11/17/17,43056,171.039993,171.389999,169.639999,170.149994,168.808151,21899500
11/20/17,43059,170.289993,170.559998,169.559998,169.979996,168.639496,16262400
11/21/17,43060,170.779999,173.699997,170.779999,173.139999,171.774567,25131300
11/22/17,43061,173.360001,175,173.050003,174.960007,173.580231,25588900
11/24/17,43063,175.100006,175.5,174.649994,174.970001,173.590149,14026700
11/27/17,43066,175.050003,175.080002,173.339996,174.089996,172.717072,20716800
11/28/17,43067,174.300003,174.869995,171.860001,173.070007,171.705139,26428800
11/29/17,43068,172.630005,172.919998,167.160004,169.479996,168.143433,41666400
11/30/17,43069,170.429993,172.139999,168.440002,171.850006,170.494751,41527200
12/1/17,43070,169.949997,171.669998,168.5,171.050003,169.70105,39759300
12/4/17,43073,172.479996,172.619995,169.630005,169.800003,168.460922,32542400
12/5/17,43074,169.059998,171.520004,168.399994,169.639999,168.30217,27350200
12/6/17,43075,167.5,170.199997,166.460007,169.009995,167.677139,28560000
12/7/17,43076,169.029999,170.440002,168.910004,169.320007,167.984711,25673300
12/8/17,43077,170.490005,171,168.820007,169.369995,168.034302,23355200
12/11/17,43080,169.199997,172.889999,168.789993,172.669998,171.308289,35273800
12/12/17,43081,172.149994,172.389999,171.460007,171.699997,170.345932,19409200
12/13/17,43082,172.5,173.539993,172,172.270004,170.911438,23818400
